valid_time,fxx,category,pod,tp,fn,n_obs
2026-03-22 00:00 UTC,3,Freezing Rain,,0,0,0
2026-03-22 00:00 UTC,3,Ice Pellets,,0,0,0
2026-03-22 01:00 UTC,3,Rain,0.1818,2,9,11
2026-03-22 01:00 UTC,3,Snow,0.8667,13,2,15
2026-03-22 01:00 UTC,3,Freezing Rain,,0,0,0
2026-03-22 01:00 UTC,3,Ice Pellets,,0,0,0
2026-03-22 02:00 UTC,3,Rain,0.3571,5,9,14
2026-03-22 02:00 UTC,3,Snow,0.8182,9,2,11
2026-03-22 02:00 UTC,3,Freezing Rain,,0,0,0
2026-03-22 02:00 UTC,3,Ice Pellets,,0,0,0
2026-03-21 15:00 UTC,6,Rain,0.5,5,5,10
2026-03-21 15:00 UTC,6,Snow,0.6667,6,3,9
2026-03-21 15:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 15:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 16:00 UTC,6,Rain,0.3571,5,9,14
2026-03-21 16:00 UTC,6,Snow,0.7333,11,4,15
2026-03-21 16:00 UTC,6,Freezing Rain,0.0,0,1,1
2026-03-21 16:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 17:00 UTC,6,Rain,0.5455,6,5,11
2026-03-21 17:00 UTC,6,Snow,0.7143,10,4,14
2026-03-21 17:00 UTC,6,Freezing Rain,0.0,0,1,1
2026-03-21 17:00 UTC,6,Ice Pellets,0.0,0,1,1
2026-03-21 18:00 UTC,6,Rain,0.5625,9,7,16
2026-03-21 18:00 UTC,6,Snow,0.8462,11,2,13
2026-03-21 18:00 UTC,6,Freezing Rain,0.0,0,1,1
2026-03-21 18:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 19:00 UTC,6,Rain,0.2,2,8,10
2026-03-21 19:00 UTC,6,Snow,0.5833,7,5,12
2026-03-21 19:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 19:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 20:00 UTC,6,Rain,0.3077,4,9,13
2026-03-21 20:00 UTC,6,Snow,0.2857,2,5,7
2026-03-21 20:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 20:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 21:00 UTC,6,Rain,0.4,4,6,10
2026-03-21 21:00 UTC,6,Snow,0.2857,2,5,7
2026-03-21 21:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 21:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 22:00 UTC,6,Rain,0.0909,1,10,11
2026-03-21 22:00 UTC,6,Snow,0.1111,1,8,9
2026-03-21 22:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 22:00 UTC,6,Ice Pellets,,0,0,0
2026-03-21 23:00 UTC,6,Rain,0.0,0,11,11
2026-03-21 23:00 UTC,6,Snow,0.1818,2,9,11
2026-03-21 23:00 UTC,6,Freezing Rain,,0,0,0
2026-03-21 23:00 UTC,6,Ice Pellets,,0,0,0
2026-03-22 00:00 UTC,6,Rain,0.2,2,8,10
2026-03-22 00:00 UTC,6,Snow,0.6923,9,4,13
2026-03-22 00:00 UTC,6,Freezing Rain,,0,0,0
