valid_time,fxx,category,pod,tp,fn,n_obs
2026-03-29 01:00 UTC,1,Rain,0.5455,6,5,11
2026-03-29 01:00 UTC,1,Snow,0.6667,2,1,3
2026-03-29 01:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 01:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 02:00 UTC,1,Rain,0.5,3,3,6
2026-03-29 02:00 UTC,1,Snow,,0,0,0
2026-03-29 02:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 02:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 03:00 UTC,1,Rain,0.6,3,2,5
2026-03-29 03:00 UTC,1,Snow,0.0,0,1,1
2026-03-29 03:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 03:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 04:00 UTC,1,Rain,0.1667,1,5,6
2026-03-29 04:00 UTC,1,Snow,0.0,0,1,1
2026-03-29 04:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 04:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 05:00 UTC,1,Rain,0.3333,3,6,9
2026-03-29 05:00 UTC,1,Snow,0.0,0,1,1
2026-03-29 05:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 05:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 06:00 UTC,1,Rain,0.1429,1,6,7
2026-03-29 06:00 UTC,1,Snow,0.0,0,2,2
2026-03-29 06:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 06:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 07:00 UTC,1,Rain,0.2857,2,5,7
2026-03-29 07:00 UTC,1,Snow,0.0,0,1,1
2026-03-29 07:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 07:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 08:00 UTC,1,Rain,0.25,3,9,12
2026-03-29 08:00 UTC,1,Snow,0.6667,2,1,3
2026-03-29 08:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 08:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 09:00 UTC,1,Rain,0.2727,3,8,11
2026-03-29 09:00 UTC,1,Snow,1.0,4,0,4
2026-03-29 09:00 UTC,1,Freezing Rain,,0,0,0
2026-03-29 09:00 UTC,1,Ice Pellets,,0,0,0
2026-03-29 10:00 UTC,1,Rain,0.3636,4,7,11
