valid_time,fxx,category,pod,tp,fn,n_obs
2026-05-12 19:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 08:00 UTC,6,Rain,0.8276,48,10,58
2026-05-12 08:00 UTC,6,Snow,,0,0,0
2026-05-12 08:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 08:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 09:00 UTC,6,Rain,0.8485,56,10,66
2026-05-12 09:00 UTC,6,Snow,,0,0,0
2026-05-12 09:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 09:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 10:00 UTC,6,Rain,0.7971,55,14,69
2026-05-12 10:00 UTC,6,Snow,0.0,0,1,1
2026-05-12 10:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 10:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 11:00 UTC,6,Rain,0.6494,50,27,77
2026-05-12 11:00 UTC,6,Snow,,0,0,0
2026-05-12 11:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 11:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 12:00 UTC,6,Rain,0.7895,60,16,76
2026-05-12 12:00 UTC,6,Snow,0.0,0,1,1
2026-05-12 12:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 12:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 13:00 UTC,6,Rain,0.8382,57,11,68
2026-05-12 13:00 UTC,6,Snow,0.0,0,1,1
2026-05-12 13:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 13:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 14:00 UTC,6,Rain,0.7458,44,15,59
2026-05-12 14:00 UTC,6,Snow,,0,0,0
2026-05-12 14:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 14:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 15:00 UTC,6,Rain,0.7089,56,23,79
2026-05-12 15:00 UTC,6,Snow,,0,0,0
2026-05-12 15:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 15:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 16:00 UTC,6,Rain,0.7403,57,20,77
2026-05-12 16:00 UTC,6,Snow,,0,0,0
2026-05-12 16:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 16:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 17:00 UTC,6,Rain,0.7273,56,21,77
2026-05-12 17:00 UTC,6,Snow,,0,0,0
2026-05-12 17:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 17:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 18:00 UTC,6,Rain,0.8295,73,15,88
2026-05-12 18:00 UTC,6,Snow,,0,0,0
2026-05-12 18:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 18:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 19:00 UTC,6,Rain,0.7684,73,22,95
2026-05-12 19:00 UTC,6,Snow,,0,0,0
2026-05-12 19:00 UTC,6,Freezing Rain,,0,0,0
2026-05-12 19:00 UTC,6,Ice Pellets,,0,0,0
2026-05-12 08:00 UTC,12,Rain,0.8276,48,10,58
2026-05-12 08:00 UTC,12,Snow,,0,0,0
2026-05-12 08:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 08:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 09:00 UTC,12,Rain,0.8182,54,12,66
2026-05-12 09:00 UTC,12,Snow,,0,0,0
2026-05-12 09:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 09:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 10:00 UTC,12,Rain,0.8116,56,13,69
2026-05-12 10:00 UTC,12,Snow,0.0,0,1,1
2026-05-12 10:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 10:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 11:00 UTC,12,Rain,0.8701,67,10,77
2026-05-12 11:00 UTC,12,Snow,,0,0,0
2026-05-12 11:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 11:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 12:00 UTC,12,Rain,0.8289,63,13,76
2026-05-12 12:00 UTC,12,Snow,0.0,0,1,1
2026-05-12 12:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 12:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 13:00 UTC,12,Rain,0.8529,58,10,68
2026-05-12 13:00 UTC,12,Snow,0.0,0,1,1
2026-05-12 13:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 13:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 14:00 UTC,12,Rain,0.8136,48,11,59
2026-05-12 14:00 UTC,12,Snow,,0,0,0
2026-05-12 14:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 14:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 15:00 UTC,12,Rain,0.8101,64,15,79
2026-05-12 15:00 UTC,12,Snow,,0,0,0
2026-05-12 15:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 15:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 16:00 UTC,12,Rain,0.5974,46,31,77
2026-05-12 16:00 UTC,12,Snow,,0,0,0
2026-05-12 16:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 16:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 17:00 UTC,12,Rain,0.7013,54,23,77
2026-05-12 17:00 UTC,12,Snow,,0,0,0
2026-05-12 17:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 17:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 18:00 UTC,12,Rain,0.7614,67,21,88
2026-05-12 18:00 UTC,12,Snow,,0,0,0
2026-05-12 18:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 18:00 UTC,12,Ice Pellets,,0,0,0
2026-05-12 19:00 UTC,12,Rain,0.6105,58,37,95
2026-05-12 19:00 UTC,12,Snow,,0,0,0
2026-05-12 19:00 UTC,12,Freezing Rain,,0,0,0
2026-05-12 19:00 UTC,12,Ice Pellets,,0,0,0
