valid_time,fxx,category,pod,tp,fn,n_obs
2026-05-12 08:00 UTC,1,Rain,0.8793,51,7,58
2026-05-12 08:00 UTC,1,Snow,,0,0,0
2026-05-12 08:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 08:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 09:00 UTC,1,Rain,0.8485,56,10,66
2026-05-12 09:00 UTC,1,Snow,,0,0,0
2026-05-12 09:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 09:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 10:00 UTC,1,Rain,0.8551,59,10,69
2026-05-12 10:00 UTC,1,Snow,0.0,0,1,1
2026-05-12 10:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 10:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 11:00 UTC,1,Rain,0.8182,63,14,77
2026-05-12 11:00 UTC,1,Snow,,0,0,0
2026-05-12 11:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 11:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 12:00 UTC,1,Rain,0.8421,64,12,76
2026-05-12 12:00 UTC,1,Snow,0.0,0,1,1
2026-05-12 12:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 12:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 13:00 UTC,1,Rain,0.8971,61,7,68
2026-05-12 13:00 UTC,1,Snow,0.0,0,1,1
2026-05-12 13:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 13:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 14:00 UTC,1,Rain,0.8814,52,7,59
2026-05-12 14:00 UTC,1,Snow,,0,0,0
2026-05-12 14:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 14:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 15:00 UTC,1,Rain,0.8481,67,12,79
2026-05-12 15:00 UTC,1,Snow,,0,0,0
2026-05-12 15:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 15:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 16:00 UTC,1,Rain,0.8701,67,10,77
2026-05-12 16:00 UTC,1,Snow,,0,0,0
2026-05-12 16:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 16:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 17:00 UTC,1,Rain,0.8831,68,9,77
2026-05-12 17:00 UTC,1,Snow,,0,0,0
2026-05-12 17:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 17:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 18:00 UTC,1,Rain,0.8636,76,12,88
2026-05-12 18:00 UTC,1,Snow,,0,0,0
2026-05-12 18:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 18:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 19:00 UTC,1,Rain,0.7789,74,21,95
2026-05-12 19:00 UTC,1,Snow,,0,0,0
2026-05-12 19:00 UTC,1,Freezing Rain,,0,0,0
2026-05-12 19:00 UTC,1,Ice Pellets,,0,0,0
2026-05-12 08:00 UTC,3,Rain,0.8276,48,10,58
2026-05-12 08:00 UTC,3,Snow,,0,0,0
2026-05-12 08:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 08:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 09:00 UTC,3,Rain,0.803,53,13,66
2026-05-12 09:00 UTC,3,Snow,,0,0,0
2026-05-12 09:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 09:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 10:00 UTC,3,Rain,0.7826,54,15,69
2026-05-12 10:00 UTC,3,Snow,0.0,0,1,1
2026-05-12 10:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 10:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 11:00 UTC,3,Rain,0.6753,52,25,77
2026-05-12 11:00 UTC,3,Snow,,0,0,0
2026-05-12 11:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 11:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 12:00 UTC,3,Rain,0.6579,50,26,76
2026-05-12 12:00 UTC,3,Snow,0.0,0,1,1
2026-05-12 12:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 12:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 13:00 UTC,3,Rain,0.8971,61,7,68
2026-05-12 13:00 UTC,3,Snow,0.0,0,1,1
2026-05-12 13:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 13:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 14:00 UTC,3,Rain,0.6102,36,23,59
2026-05-12 14:00 UTC,3,Snow,,0,0,0
2026-05-12 14:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 14:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 15:00 UTC,3,Rain,0.7468,59,20,79
2026-05-12 15:00 UTC,3,Snow,,0,0,0
2026-05-12 15:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 15:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 16:00 UTC,3,Rain,0.7403,57,20,77
2026-05-12 16:00 UTC,3,Snow,,0,0,0
2026-05-12 16:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 16:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 17:00 UTC,3,Rain,0.7403,57,20,77
2026-05-12 17:00 UTC,3,Snow,,0,0,0
2026-05-12 17:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 17:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 18:00 UTC,3,Rain,0.7614,67,21,88
2026-05-12 18:00 UTC,3,Snow,,0,0,0
2026-05-12 18:00 UTC,3,Freezing Rain,,0,0,0
2026-05-12 18:00 UTC,3,Ice Pellets,,0,0,0
2026-05-12 19:00 UTC,3,Rain,0.6737,64,31,95
2026-05-12 19:00 UTC,3,Snow,,0,0,0
2026-05-12 19:00 UTC,3,Freezing Rain,,0,0,0
